tau, Niter
1,125
0.9999,125
0.9998,125
0.9997,125
0.9996,125
0.9995,125
0.9994,125
0.9993,125
0.9992,125
0.9991,125
0.999,125
0.9989,125
0.9988,125
0.9987,125
0.9986,125
0.9985,125
0.9984,125
0.9983,125
0.9982,125
0.9981,125
0.998,125
0.9979,125
0.9978,125
0.9977,125
0.9976,125
0.9975,125
0.9974,125
0.9973,125
0.9972,125
0.9971,125
0.997,125
0.9969,125
0.9968,125
0.9967,125
0.9966,125
0.9965,125
0.9964,125
0.9963,125
0.9962,125
0.9961,125
0.996,125
0.9959,125
0.9958,125
0.9957,125
0.9956,125
0.9955,125
0.9954,125
0.9953,125
0.9952,125
0.9951,125
0.995,125
0.9949,125
0.9948,125
0.9947,125
0.9946,125
0.9945,125
0.9944,125
0.9943,125
0.9942,125
0.9941,125
0.994,125
0.9939,125
0.9938,125
0.9937,125
0.9936,125
0.9935,125
0.9934,125
0.9933,125
0.9932,125
0.9931,125
0.993,125
0.9929,125
0.9928,125
0.9927,125
0.9926,125
0.9925,125
0.9924,125
0.9923,125
0.9922,125
0.9921,125
0.992,125
0.9919,125
0.9918,125
0.9917,125
0.9916,125
0.9915,125
0.9914,125
0.9913,125
0.9912,125
0.9911,125
0.991,125
0.9909,125
0.9908,125
0.9907,125
0.9906,125
0.9905,125
0.9904,125
0.9903,125
0.9902,125
0.9901,125
0.99,125
0.9899,125
0.9898,125
0.9897,125
0.9896,125
0.9895,125
0.9894,125
0.9893,125
0.9892,125
0.9891,125
0.989,125
0.9889,125
0.9888,125
0.9887,125
0.9886,125
0.9885,125
0.9884,125
0.9883,125
0.9882,125
0.9881,125
0.988,125
0.9879,125
0.9878,125
0.9877,125
0.9876,125
0.9875,125
0.9874,125
0.9873,125
0.9872,125
0.9871,125
0.987,125
0.9869,125
0.9868,125
0.9867,125
0.9866,125
0.9865,125
0.9864,125
0.9863,125
0.9862,125
0.9861,125
0.986,125
0.9859,125
0.9858,125
0.9857,125
0.9856,125
0.9855,125
0.9854,125
0.9853,125
0.9852,125
0.9851,125
0.985,125
0.9849,125
0.9848,125
0.9847,125
0.9846,125
0.9845,125
0.9844,125
0.9843,125
0.9842,125
0.9841,125
0.984,125
0.9839,125
0.9838,125
0.9837,125
0.9836,125
0.9835,125
0.9834,125
0.9833,125
0.9832,125
0.9831,125
0.983,125
0.9829,125
0.9828,125
0.9827,125
0.9826,125
0.9825,125
0.9824,125
0.9823,125
0.9822,125
0.9821,125
0.982,125
0.9819,125
0.9818,125
0.9817,125
0.9816,125
0.9815,125
0.9814,125
0.9813,125
0.9812,125
0.9811,125
0.981,125
0.9809,125
0.9808,125
0.9807,125
0.9806,125
0.9805,125
0.9804,125
0.9803,125
0.9802,125
0.9801,125
0.98,125
0.9799,125
0.9798,125
0.9797,125
0.9796,125
0.9795,125
0.9794,125
0.9793,125
0.9792,125
0.9791,125
0.979,125
0.9789,125
0.9788,125
0.9787,125
0.9786,125
0.9785,125
0.9784,125
0.9783,125
0.9782,125
0.9781,125
0.978,125
0.9779,125
0.9778,125
0.9777,125
0.9776,125
0.9775,125
0.9774,125
0.9773,125
0.9772,125
0.9771,125
0.977,125
0.9769,125
0.9768,125
0.9767,125
0.9766,125
0.9765,125
0.9764,125
0.9763,125
0.9762,125
0.9761,125
0.976,125
0.9759,125
0.9758,125
0.9757,125
0.9756,125
0.9755,125
0.9754,125
0.9753,125
0.9752,125
0.9751,125
0.975,125
0.9749,125
0.9748,125
0.9747,125
0.9746,125
0.9745,125
0.9744,125
0.9743,125
0.9742,125
0.9741,125
0.974,125
