Niter, simple time, simple error, chebyshev time, chebyshev error, jakobi time, jakobi error, gs time, gs error, conjgrad time, conjgrad error
1,6,34.0123,21,34.0123,5,16.643,4,2.98753,6,14.2669
2,4,21.6477,13,16.809,6,9.50543,6,1.43548,7,8.76742
3,7,15.2991,8,11.5459,8,4.99782,8,0.432833,11,2.16897
4,8,11.3339,8,4.91386,11,2.86443,10,0.130401,14,1.65394
5,9,8.57583,11,2.59614,13,1.5057,12,0.0392862,16,0.848758
6,11,6.56954,13,13.518,16,0.862975,14,0.0118359,21,0.162917
7,13,5.08602,15,2.56263,19,0.453626,17,0.00356582,23,0.0124233
8,14,3.98252,17,1.19858,21,0.259991,19,0.00107428,26,3.77523e-15
9,16,3.15922,20,0.995408,23,0.136665,20,0.000323652,30,1.92368e-16
10,18,2.54291,22,2.92893,26,0.0783281,23,9.75075e-05,24,4.2289e-17
11,14,2.079,15,11.2881,19,0.0411734,17,2.93763e-05,24,5.24531e-18
12,14,1.72666,17,47.6213,20,0.0235981,18,8.85028e-06,26,0
13,15,1.45562,18,4.23896,22,0.0124044,19,2.66635e-06,26,0
14,17,1.24365,19,9.01184,24,0.00710946,21,8.03297e-07,26,0
15,18,1.07468,20,0.906473,25,0.00373711,23,2.42011e-07,26,0
16,19,0.937272,21,0.279931,27,0.00214188,24,7.29114e-08,26,0
17,20,0.823352,24,0.233626,29,0.00112589,25,2.19662e-08,26,0
18,21,0.727254,29,0.41927,30,0.000645291,26,6.61781e-09,26,0
19,21,0.644994,26,7.45762,31,0.000339199,27,1.99376e-09,26,0
20,23,0.573744,28,110.175,33,0.000194408,30,6.00667e-10,26,0
21,25,0.511464,28,61.6021,35,0.000102191,31,1.80964e-10,26,0
22,26,0.456646,30,321.051,37,5.85699e-05,32,5.45196e-11,26,0
23,27,0.40815,31,199.985,38,3.07875e-05,34,1.64253e-11,26,0
24,28,0.365087,32,930.011,40,1.76455e-05,35,4.94846e-12,26,0
25,29,0.326747,37,53.4753,41,9.27542e-06,37,1.49082e-12,26,0
26,30,0.292545,34,111.673,43,5.31611e-06,38,4.49143e-13,26,0
27,31,0.261994,35,39.3805,60,2.79443e-06,39,1.35334e-13,26,0
28,32,0.234679,36,22.7341,47,1.6016e-06,41,4.0747e-14,26,0
29,33,0.210239,38,0.853854,49,8.41884e-07,43,1.22962e-14,26,0
30,34,0.188362,39,0.857901,50,4.82517e-07,44,3.69294e-15,26,0
31,35,0.168773,40,0.0525651,51,2.53637e-07,46,1.13299e-15,26,0
32,37,0.151228,41,0.0155094,53,1.45369e-07,47,3.38312e-16,26,0
33,37,0.135511,45,0.0129439,55,7.64138e-08,49,1.25887e-16,26,0
34,39,0.12143,46,0.0152289,57,4.37957e-08,52,4.19625e-17,28,0
35,40,0.108814,47,0.66514,58,2.30214e-08,51,4.19625e-17,26,0
36,41,0.0975102,49,24.0607,60,1.31945e-08,53,0,26,0
37,42,0.0873811,50,53.0056,221,6.9357e-09,53,0,32,0
38,52,0.0783046,52,390.739,62,3.97513e-09,53,0,26,0
39,44,0.0701712,52,792.559,64,2.08954e-09,53,0,26,0
40,45,0.0628828,53,7980.88,66,1.1976e-09,53,0,26,0
41,47,0.0563515,66,2376.92,75,6.2952e-10,52,0,26,0
42,47,0.0504986,58,6882.48,69,3.60803e-10,52,0,26,0
43,49,0.0452537,56,16282.5,71,1.89657e-10,53,0,26,0
44,50,0.0405536,58,111068,72,1.087e-10,53,0,26,0
45,51,0.0363416,59,22357.7,73,5.71385e-11,53,0,26,0
46,52,0.0325671,60,80379.3,75,3.27484e-11,52,0,26,0
47,53,0.0291847,61,55079.3,77,1.72143e-11,52,0,26,0
48,54,0.0261535,62,192587,78,9.8662e-12,53,0,26,0
49,55,0.0234372,63,9897.25,80,5.18614e-12,53,0,26,0
50,56,0.021003,65,16657.9,81,2.97238e-12,52,0,26,0
51,57,0.0188216,65,11018.5,83,1.56249e-12,53,0,26,0
52,58,0.0168668,67,9303.14,85,8.95527e-13,56,0,26,0
53,60,0.015115,68,813.512,87,4.70791e-13,53,0,26,0
54,62,0.0135451,69,1571.67,88,2.69862e-13,53,0,26,0
55,62,0.0121383,70,167.477,91,1.4185e-13,55,0,28,0
56,63,0.0108776,72,166.018,93,8.13338e-14,53,0,26,0
57,64,0.00974785,72,3.72899,94,4.27415e-14,53,0,33,0
58,71,0.00873543,74,4.87359,96,2.44511e-14,53,0,26,0
59,72,0.00782816,77,0.63627,98,1.28625e-14,53,0,26,0
60,88,0.00701513,104,0.181074,108,7.41241e-15,58,0,26,0
61,68,0.00628653,77,0.00436202,100,3.89867e-15,52,0,26,0
62,70,0.00563361,78,0.0032278,101,2.21926e-15,53,0,40,0
63,71,0.0050485,79,0.000177493,104,1.16441e-15,53,0,26,0
64,72,0.00452415,81,4.76082e-05,107,6.63485e-16,53,0,26,0
65,73,0.00405427,102,3.97332e-05,107,3.46032e-16,52,0,26,0
66,74,0.00363319,89,3.71569e-05,108,2.18043e-16,53,0,26,0
67,75,0.00325585,94,0.00221862,110,1.25887e-16,52,0,26,0
68,76,0.00291769,92,0.122809,111,1.02787e-16,53,0,26,0
69,78,0.00261466,93,0.613662,113,4.19625e-17,52,0,26,0
70,82,0.0023431,94,5.8798,115,0,261,0,27,0
71,81,0.00209974,172,27.6241,126,0,57,0,26,0
72,82,0.00188166,96,315.734,115,0,52,0,26,0
73,82,0.00168623,97,273.333,114,0,52,0,26,0
74,83,0.0015111,98,865.469,115,0,51,0,26,0
75,84,0.00135415,100,6979.43,130,0,52,0,26,0
76,85,0.00121351,101,156954,115,0,53,0,26,0
77,86,0.00108747,101,103650,115,0,52,0,26,0
78,87,0.000974528,102,386748,115,0,53,0,26,0
79,89,0.000873313,104,1.45229e+06,126,0,52,0,26,0
80,90,0.00078261,105,2.23374e+07,116,0,53,0,26,0
81,91,0.000701327,106,4.70449e+06,115,0,53,0,26,0
82,95,0.000628487,107,8.91595e+06,115,0,52,0,26,0
83,93,0.000563212,108,3.94983e+07,115,0,53,0,26,0
84,94,0.000504716,109,2.99818e+08,115,0,53,0,26,0
85,95,0.000452296,110,1.39925e+08,116,0,53,0,27,0
86,97,0.00040532,112,7.37937e+08,115,0,56,0,26,0
87,98,0.000363223,113,6.45178e+08,122,0,52,0,26,0
88,99,0.000325499,114,4.95207e+09,115,0,53,0,30,0
89,103,0.000291692,127,5.93278e+08,119,0,53,0,26,0
90,101,0.000261397,117,1.30949e+09,115,0,53,0,26,0
91,102,0.000234248,118,1.90191e+09,114,0,53,0,26,0
92,103,0.000209919,118,6.46152e+09,114,0,53,0,26,0
93,105,0.000188116,120,1.17976e+09,114,0,53,0,26,0
94,106,0.000168579,121,4.52712e+09,115,0,53,0,26,0
95,106,0.00015107,132,2.10909e+09,117,0,53,0,176,0
96,115,0.00013538,135,7.74171e+09,116,0,53,0,26,0
97,110,0.000121319,124,3.90331e+08,116,0,53,0,26,0
98,110,0.000108719,125,5.68914e+08,115,0,53,0,26,0
99,111,9.74271e-05,127,5.13854e+08,116,0,53,0,26,0
100,112,8.73082e-05,128,5.23669e+08,116,0,53,0,26,0
101,113,7.82403e-05,129,7.29704e+07,116,0,53,0,26,0
102,115,7.01142e-05,130,2.01648e+08,128,0,53,0,25,0
103,116,6.28321e-05,131,3.0857e+07,116,0,53,0,26,0
104,117,5.63063e-05,132,6.426e+07,119,0,53,0,26,0
105,124,5.04583e-05,133,2.69801e+06,115,0,53,0,26,0
106,118,4.52177e-05,134,5.18568e+06,115,0,53,0,26,0
107,119,4.05213e-05,136,1.27649e+06,115,0,53,0,26,0
108,121,3.63127e-05,136,977010,115,0,53,0,26,0
109,122,3.25413e-05,138,40364.8,122,0,53,0,26,0
110,123,2.91615e-05,139,68467.9,115,0,53,0,26,0
111,123,2.61328e-05,140,9580.19,115,0,53,0,26,0
112,124,2.34186e-05,141,6331.52,115,0,53,0,26,0
113,126,2.09863e-05,142,121.728,115,0,53,0,26,0
114,127,1.88067e-05,143,152.358,115,0,53,0,26,0
115,128,1.68534e-05,144,29.3208,115,0,53,0,26,0
116,129,1.5103e-05,145,8.34071,123,0,53,0,26,0
117,130,1.35344e-05,151,0.321242,115,0,53,0,26,0
